id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
1,Movie,3 Idiots,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, R. Madhavan, Sharman Joshi, Boman Irani, Omi Vaidya",India,2009,PG-13,170 min,"Comedies, Dramas, International Movies","Two friends searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
2,Movie,Lagaan,Ashutosh Gowariker,"Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne",India,2001,PG,224 min,"Dramas, International Movies, Music & Musicals","In 1890s India, an arrogant British commander challenges the harshly taxed residents of a small village to a game of cricket, with their freedom from taxes on the line."
3,Movie,Dangal,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Zaira Wasim",India,2016,PG,161 min,"Dramas, International Movies, Sports Movies","Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression."
4,TV Show,Sacred Games,Anurag Kashyap,Vikramaditya Motwane,"Saif Ali Khan, Nawazuddin Siddiqui, Radhika Apte, Pankaj Tripathi, Kalki Koechlin",India,2018,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Thrillers","A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm."
5,Movie,Baahubali: The Beginning,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah, Ramya Krishna",India,2015,TV-14,159 min,"Action & Adventure, Dramas, International Movies","In the kingdom of Mahishmati, a young man raised in a remote village discovers his royal heritage and must confront a tyrannical ruler to claim his throne."
6,Movie,Baahubali 2: The Conclusion,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Sathyaraj, Ramya Krishna",India,2017,TV-14,167 min,"Action & Adventure, Dramas, International Movies","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
7,TV Show,Mirzapur,Gurmmeet Singh,Mihir Desai,"Pankaj Tripathi, Ali Fazal, Vikrant Massey, Divyendu Sharma, Shweta Tripathi",India,2018,TV-MA,2 Seasons,"Crime TV Shows, Dramas, International TV Shows","A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur."
8,Movie,Gully Boy,Zoya Akhtar,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Kalki Koechlin, Vijay Raaz",India,2019,TV-MA,154 min,"Dramas, International Movies, Music & Musicals","A coming-of-age story based on the lives of street rappers in Mumbai. A young man from a Mumbai slum rises to fame as a rapper."
9,Movie,Andhadhun,Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte, Anil Dhawan",India,2018,TV-MA,139 min,"Comedies, Dramas, International Movies","A series of mysterious events changes the life of a blind pianist, who must now report a crime that he should technically know nothing of."
10,Movie,Zindagi Na Milegi Dobara,Zoya Akhtar,"Hrithik Roshan, Abhay Deol, Farhan Akhtar, Katrina Kaif, Kalki Koechlin",India,2011,TV-14,155 min,"Comedies, Dramas, International Movies","Three friends decide to turn their fantasy vacation into reality after one of them gets engaged. A road trip in Spain changes their lives forever."
11,TV Show,The Family Man,Raj & DK,"Manoj Bajpayee, Priyamani, Sharib Hashmi, Samantha Akkineni",India,2019,TV-MA,2 Seasons,"Action & Adventure, Dramas, International TV Shows","A working man from the National Investigation Agency tries to protect the nation from terrorism, while also trying to protect his family from the impact of his secretive, high-pressure job."
12,Movie,Queen,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon",India,2013,TV-14,146 min,"Comedies, Dramas, International Movies","A sheltered young woman from a traditional family in Delhi is jilted by her fiancé. She decides to go on their honeymoon to Paris and Amsterdam by herself."
13,Movie,Barfi!,Anurag Basu,"Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz, Saurabh Shukla",India,2012,TV-PG,151 min,"Comedies, Dramas, International Movies","Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal. The story of a deaf-mute boy and his relationships."
14,Movie,Drishyam,Nishikant Kamat,"Ajay Devgn, Tabu, Shriya Saran, Ishita Dutta",India,2015,TV-14,163 min,"Dramas, International Movies, Thrillers","A man takes desperate measures to save his family from the dark side of the law, when they commit an unexpected crime."
15,TV Show,Panchayat,Deepak Kumar Mishra,"Jitendra Kumar, Raghubir Yadav, Neena Gupta, Chandan Roy",India,2020,TV-14,2 Seasons,"Comedies, Dramas, International TV Shows","An engineering graduate, for lack of a better job option, takes up a job as a secretary of a Panchayat office in a remote village of Uttar Pradesh."
16,Movie,Kahaani,Sujoy Ghosh,"Vidya Balan, Parambrata Chatterjee, Nawazuddin Siddiqui",India,2012,TV-14,122 min,"Dramas, International Movies, Thrillers","A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
17,Movie,Super Deluxe,Thiagarajan Kumararaja,"Vijay Sethupathi, Fahadh Faasil, Samantha Ruth Prabhu, Ramya Krishnan",India,2019,TV-MA,176 min,"Dramas, Independent Movies, International Movies","An unfaithful wife, an estranged father and an angry son find themselves in the most unexpected predicaments after a series of seemingly unrelated events."
18,TV Show,Kota Factory,Raghav Subbu,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan",India,2019,TV-MA,2 Seasons,"Comedies, Dramas, International TV Shows","Set in the student city of Kota, the series follows the life of a young student as he navigates campus life in a city known for its coaching centers."
19,Movie,Gangs of Wasseypur - Part 1,Anurag Kashyap,"Manoj Bajpayee, Richa Chadda, Nawazuddin Siddiqui, Tigmanshu Dhulia, Pankaj Tripathi",India,2012,TV-MA,160 min,"Action & Adventure, Dramas, International Movies","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and a bloody, multigenerational feud begins."
20,Movie,Gangs of Wasseypur - Part 2,Anurag Kashyap,"Nawazuddin Siddiqui, Huma Qureshi, Richa Chadda, Tigmanshu Dhulia, Pankaj Tripathi",India,2012,TV-MA,159 min,"Action & Adventure, Dramas, International Movies","The epic saga of the Wasseypur gangs continues as Faizal Khan, the son of Sardar Khan, takes over the family business and seeks revenge."
21,Movie,PK,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sushant Singh Rajput, Boman Irani, Sanjay Dutt",India,2014,TV-14,153 min,"Comedies, Dramas, International Movies","An alien on Earth loses the remote control for his spaceship. His innocent questions and childlike curiosity force people to re-evaluate their beliefs."
22,Movie,Haider,Vishal Bhardwaj,"Shahid Kapoor, Tabu, Kay Kay Menon, Irrfan Khan, Shraddha Kapoor",India,2014,TV-MA,160 min,"Dramas, International Movies, Thrillers","A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate."
23,TV Show,Paatal Lok,Avinash Arun,Prosit Roy,"Jaideep Ahlawat, Neeraj Kabi, Abhishek Banerjee, Swastika Mukherjee",India,2020,TV-MA,1 Season,"Crime TV Shows, Dramas, International TV Shows","A down-and-out cop lands the case of a lifetime when four suspects are nabbed in the assassination attempt of a prime-time journalist."
24,Movie,Tumbbad,Rahi Anil Barve,Anand Gandhi,"Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty",India,2018,TV-MA,104 min,"Dramas, Horror Movies, International Movies","A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born."
25,Movie,Masaan,Neeraj Ghaywan,"Richa Chadda, Vicky Kaushal, Sanjay Mishra, Shweta Tripathi",India,2015,TV-MA,109 min,"Dramas, Independent Movies, International Movies","Four lives intersect along the Ganges river: a low caste boy in hopeless love, a daughter ridden with guilt of a sexual encounter ending in a tragedy, a hapless father with fading morality, and a spirited child yearning for a family."
26,Movie,Talvar,Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah",India,2015,TV-14,132 min,"Dramas, International Movies, Thrillers","An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide."
27,Movie,Udta Punjab,Abhishek Chaubey,"Shahid Kapoor, Alia Bhatt, Kareena Kapoor, Diljit Dosanjh",India,2016,TV-MA,148 min,"Action & Adventure, Dramas, International Movies","The interwoven stories of a rock star, a migrant labourer, a doctor and a policeman highlight the drug abuse crisis in the Indian state of Punjab."
28,TV Show,Scam 1992: The Harshad Mehta Story,Hansal Mehta,Jai Mehta,"Pratik Gandhi, Shreya Dhanwanthary, Hemant Kher, Anjali Barot",India,2020,TV-MA,1 Season,"Crime TV Shows, Dramas, International TV Shows","Set in 1980s and 90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall."
29,Movie,Newton,Amit V. Masurkar,"Rajkummar Rao, Pankaj Tripathi, Anjali Patil, Raghubir Yadav",India,2017,TV-14,106 min,"Comedies, Dramas, International Movies","A government clerk on election duty in the conflict-ridden jungle of Central India tries his best to conduct free and fair voting despite the apathy of security forces and the looming fear of guerrilla attacks."
30,Movie,Article 15,Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar",India,2019,TV-MA,130 min,"Dramas, International Movies, Thrillers","In a country where caste discrimination is illegal, an upright city-bred police officer is posted to a rural village and must investigate the disappearance of three Dalit girls."
31,Movie,Padmaavat,Sanjay Leela Bhansali,"Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari",India,2018,TV-MA,164 min,"Dramas, International Movies, Romantic Movies","In medieval India, a tyrannical sultan's obsession with a Rajput queen leads him to invade her kingdom, resulting in a fierce battle and a tragic choice."
32,Movie,Bajirao Mastani,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Priyanka Chopra, Tanvi Azmi",India,2015,TV-14,158 min,"Dramas, International Movies, Romantic Movies","The historical tale of the Maratha warrior Peshwa Bajirao I and his second wife, Mastani, a warrior princess."
33,Movie,Delhi Belly,Abhinay Deo,"Imran Khan, Vir Das, Kunaal Roy Kapur, Shenaz Treasury",India,2011,TV-MA,103 min,"Action & Adventure, Comedies, International Movies","Three struggling roommates in Delhi find themselves in trouble after they unknowingly mix up a gangster's package."
34,TV Show,Made in Heaven,Zoya Akhtar,Nitya Mehra,Prashant Nair,Alankrita Shrivastava,"Arjun Mathur, Sobhita Dhulipala, Kalki Koechlin, Jim Sarbh",India,2019,TV-MA,1 Season,"Dramas, International TV Shows, Romantic TV Shows","Two wedding planners in Delhi run an agency named 'Made in Heaven'. The series chronicles their lives as they navigate the complexities of their clients' lives and their own."
35,Movie,Stree,Amar Kaushik,"Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi, Aparshakti Khurana",India,2018,TV-14,128 min,"Comedies, Horror Movies, International Movies","In the small town of Chanderi, the menfolk live in fear of an evil spirit named 'Stree' who abducts men at night."
36,Movie,Pink,Aniruddha Roy Chowdhury,"Amitabh Bachchan, Taapsee Pannu, Kirti Kulhari, Andrea Tariang",India,2016,TV-14,136 min,"Dramas, International Movies, Thrillers","After being molested, a young woman and her friends are charged with attempted murder. A retired lawyer steps in to help them clear their names."
37,Movie,Vicky Donor,Shoojit Sircar,"Ayushmann Khurrana, Yami Gautam, Annu Kapoor",India,2012,TV-14,125 min,"Comedies, International Movies, Romantic Movies","A fertility expert is in search of a quality sperm donor. He finds one in a carefree young man from Delhi, whose life changes when he falls in love."
